raceid,driverid,constructorid,grid
312,87,34,12
312,110,17,13
312,84,34,14
312,138,25,15
312,122,41,16
312,92,17,17
312,139,35,18
312,123,27,19
312,81,18,20
312,103,26,21
312,88,26,22
312,94,18,23
312,65,32,24
312,57,32,25
312,105,29,26
313,95,3,1
313,102,1,2
313,77,1,3
313,119,3,4
313,117,6,5
313,55,6,6
313,110,17,7
313,137,22,8
313,90,22,9
313,94,18,10
313,92,17,11
313,122,41,12
313,138,25,13
313,131,25,14
313,84,34,15
313,127,41,16
313,123,27,17
313,139,35,18
313,81,18,19
313,109,35,20
313,87,34,21
313,88,26,22
313,57,32,23
313,78,40,24
313,103,26,25
313,100,27,26
314,102,1,1
314,119,3,2
314,95,3,3
314,117,6,4
314,77,1,5
314,55,6,6
314,139,35,7
314,131,25,8
314,122,41,9
314,84,34,10
314,137,22,11
314,109,35,12
314,127,41,13
314,138,25,14
314,90,22,15
314,92,17,16
314,110,17,17
314,94,18,18
314,123,27,19
314,87,34,20
314,103,26,21
314,88,26,22
314,81,18,23
314,78,40,24
314,100,27,25
314,57,32,26
315,102,1,1
315,117,6,2
315,95,3,3
315,77,1,4
315,55,6,5
315,137,22,6
315,30,17,7
315,90,22,8
315,94,18,9
315,131,25,10
315,110,17,11
315,122,41,12
315,87,34,13
315,109,35,14
315,127,41,15
315,84,34,16
315,119,3,17
315,123,27,18
315,81,18,19
315,103,26,20
315,65,32,21
315,138,25,22
315,129,36,23
315,57,32,24
315,139,35,25
315,100,27,26
316,102,1,1
316,95,3,2
316,77,1,3
316,119,3,4
316,117,6,5
316,55,6,6
316,30,22,7
316,137,22,8
316,90,17,9
316,94,18,10
316,87,34,11
316,122,41,12
316,131,25,13
316,110,17,14
316,138,25,15
316,139,35,16
316,81,18,17
316,127,41,18
316,84,34,19
316,109,35,20
316,123,27,21
316,100,27,22
316,78,40,23
316,103,26,24
316,57,32,25
316,129,36,26
317,119,3,1
317,77,1,2
317,102,1,3
317,95,3,4
317,117,6,5
317,55,6,6
317,127,41,7
317,94,18,8
317,122,41,9
317,30,22,10
317,137,22,11
317,131,25,12
317,81,18,13
317,110,17,14
317,87,34,15
317,139,35,16
317,138,25,17
317,109,35,18
317,84,34,19
317,123,27,20
317,90,17,21
317,105,29,22
317,100,27,23
317,57,32,24
317,88,26,25
317,65,32,26
318,77,1,1
318,95,3,2
318,102,1,3
318,119,3,4
318,30,22,5
318,117,6,6
318,55,6,7
318,122,41,8
318,139,35,9
318,137,22,10
318,84,34,11
318,87,34,12
318,127,41,13
318,131,25,14
318,109,35,15
318,81,18,16
318,110,17,17
318,138,25,18
318,94,18,19
318,70,17,20
318,57,32,21
318,99,36,22
318,103,26,23
318,105,29,24
318,100,27,25
318,123,27,26
319,77,1,1
319,102,1,2
319,95,3,3
319,117,6,4
319,119,3,5
319,55,6,6
319,94,18,7
319,81,18,8
319,30,22,9
319,137,22,10
319,110,17,11
319,109,35,12
319,70,17,13
319,131,25,14
319,138,25,15
319,139,35,16
319,123,27,17
319,127,41,18
319,84,34,19
319,100,27,20
319,57,32,21
319,91,41,22
319,65,32,23
319,99,36,24
319,88,26,25
319,133,29,26
320,102,1,1
320,77,1,2
320,95,3,3
320,119,3,4
320,137,22,5
320,30,22,6
320,55,6,7
320,81,6,8
320,131,25,9
320,94,18,10
320,109,35,11
320,110,17,12
320,139,35,13
320,127,41,14
320,105,29,15
320,70,17,16
320,87,34,17
320,90,18,18
320,78,40,19
320,123,27,20
320,65,32,21
320,100,27,22
320,133,29,23
320,138,25,24
320,57,32,25
320,91,41,26
289,95,3,1
289,102,1,2
289,77,1,3
289,119,3,4
289,55,6,5
289,30,22,6
289,91,37,7
289,84,22,8
289,122,6,9
289,110,25,10
289,65,32,11
289,129,25,12
289,100,27,13
289,123,27,14
289,99,36,15
289,88,29,16
289,105,29,17
289,79,33,18
289,81,18,19
289,104,18,20
289,57,32,21
289,92,33,22
289,127,17,23
289,109,35,24
289,94,35,25
289,128,34,26
290,95,3,1
290,119,3,2
290,30,22,3
290,84,22,4
290,77,1,5
290,102,1,6
290,109,35,7
290,127,17,8
290,94,35,9
290,55,6,10
290,110,25,11
290,65,32,12
290,92,33,13
290,99,36,14
290,131,17,15
290,129,25,16
290,104,18,17
290,57,32,18
290,91,37,19
290,122,6,20
290,81,18,21
290,123,27,22
290,130,36,23
290,79,33,24
290,105,29,25
290,100,27,26
291,95,3,1
291,119,3,2
291,102,1,3
291,77,1,4
291,30,22,5
291,55,6,6
291,84,22,7
291,94,35,8
291,91,37,9
291,123,27,10
291,122,6,11
291,131,17,12
291,110,25,13
291,105,29,14
291,100,27,15
291,109,35,16
291,129,25,17
291,92,33,18
291,99,36,19
291,104,18,20
291,127,17,21
291,88,29,22
291,81,18,23
291,57,32,24
291,79,33,25
291,65,32,26
292,95,3,1
292,30,22,2
292,102,1,3
292,119,3,4
292,122,6,5
292,84,22,6
292,77,1,7
292,55,6,8
292,91,37,9
292,100,27,10
292,110,25,11
292,109,35,12
292,94,35,13
292,123,27,14
292,129,25,15
292,105,29,16
292,127,17,17
292,99,36,18
292,88,29,19
292,130,36,20
292,57,32,21
292,104,18,22
292,108,37,23
292,92,33,24
292,81,18,25
292,65,32,26
293,95,3,1
293,119,3,2
293,102,1,3
293,77,1,4
293,30,22,5
293,84,22,6
293,55,6,7
293,122,6,8
293,105,29,9
293,123,27,10
293,88,29,11
293,91,37,12
293,100,27,13
293,110,25,14
293,94,35,15
293,127,17,16
293,79,33,17
293,,,18
293,92,33,19
293,129,25,20
293,81,18,21
293,99,36,22
293,131,17,23
293,108,37,24
293,104,18,25
293,65,32,26
294,95,3,1
294,119,3,2
294,102,1,3
294,55,6,4
294,77,1,5
294,30,22,6
294,84,22,7
294,122,6,8
294,65,32,9
294,110,25,10
294,105,29,11
294,81,18,12
294,127,17,13
294,57,32,14
294,92,33,15
294,91,37,16
294,104,18,17
294,94,35,18
294,88,29,19
294,109,35,20
294,131,17,21
294,123,27,22
294,100,27,23
294,129,25,24
294,99,36,25
294,90,38,26
295,102,1,1
295,119,3,2
295,95,3,3
295,77,1,4
295,30,22,5
295,65,32,6
295,84,22,7
295,55,6,8
295,122,6,9
295,57,32,10
295,79,33,11
295,91,37,12
295,81,18,13
295,110,25,14
295,94,35,15
295,105,29,16
295,131,17,17
295,99,36,18
295,92,33,19
295,108,37,20
295,123,27,21
295,100,27,22
295,109,35,23
295,127,17,24
295,104,18,25
295,129,25,26
296,95,3,1
296,119,3,2
296,102,1,3
296,77,1,4
296,30,22,5
296,55,6,6
296,84,22,7
296,122,6,8
296,123,27,9
296,100,27,10
296,57,32,11
296,65,32,12
296,92,33,13
296,105,29,14
296,88,29,15
296,81,18,16
296,109,35,17
296,79,33,18
296,110,25,19
296,131,17,20
296,91,37,21
296,129,25,22
296,99,36,23
296,127,17,24
296,94,35,25
296,130,36,26
297,95,3,1
297,119,3,2
297,102,1,3
297,30,22,4
297,77,1,5
297,84,22,6
297,65,32,7
297,55,6,8
297,57,32,9
297,100,27,10
297,92,33,11
297,105,29,12
297,123,27,13
297,122,6,14
297,99,36,15
297,79,33,16
297,88,29,17
297,110,25,18
297,109,35,19
297,129,25,20
297,91,37,21
297,94,35,22
297,131,17,23
297,127,17,24
297,81,18,25
297,71,34,26
298,95,3,1
298,119,3,2
298,102,1,3
298,77,1,4
298,55,6,5
298,30,22,6
298,100,27,7
298,123,27,8
298,84,22,9
298,91,37,10
298,65,32,11
298,122,6,12
298,57,32,13
298,129,25,14
298,88,29,15
298,79,33,16
298,105,29,17
298,94,35,18
298,99,36,19
298,110,25,20
298,109,35,21
298,108,37,22
298,127,17,23
298,70,18,24
298,92,33,25
298,81,18,26
299,119,3,1
299,95,3,2
299,102,1,3
299,30,22,4
299,77,1,5
299,84,22,6
299,105,29,7
299,123,27,8
299,55,6,9
299,122,6,10
299,100,27,11
299,99,36,12
299,65,32,13
299,88,29,14
299,92,33,15
299,57,32,16
299,108,37,17
299,128,36,18
299,110,25,19
299,79,33,20
299,127,17,21
299,129,25,22
299,91,37,23
299,131,17,24
299,71,34,25
299,94,35,26
300,95,3,1
300,102,1,2
300,30,22,3
300,119,3,4
300,55,6,5
300,77,1,6
300,123,27,7
300,57,32,8
300,84,22,9
300,65,32,10
300,99,36,11
300,122,6,12
300,110,25,13
300,105,29,14
300,128,36,15
300,109,35,16
300,131,17,17
300,91,37,18
300,94,35,19
300,92,33,20
300,125,37,21
300,129,25,22
300,81,18,23
300,127,17,24
300,88,29,25
300,79,33,26
301,95,3,1
301,102,1,2
301,55,6,3
301,119,3,4
301,77,1,5
301,30,22,6
301,122,6,7
301,123,27,8
301,84,22,9
301,92,33,10
301,57,32,11
301,81,18,12
301,65,32,13
301,109,35,14
301,100,27,15
301,105,29,16
301,91,37,17
301,129,25,18
301,88,29,19
301,99,36,20
301,110,25,21
301,94,35,22
301,79,33,23
301,125,37,24
301,128,36,25
301,127,17,26
302,95,3,1
302,119,3,2
302,102,1,3
302,77,1,4
302,30,22,5
302,84,22,6
302,57,32,7
302,105,29,8
302,65,32,9
302,55,6,10
302,123,27,11
302,110,25,12
302,92,33,13
302,100,27,14
302,129,25,15
302,122,6,16
302,88,29,17
302,81,18,18
302,109,35,19
302,127,17,20
302,94,35,21
302,91,37,22
302,125,37,23
302,131,17,24
302,79,33,25
302,104,18,26
303,95,3,1
303,119,3,2
303,102,1,3
303,77,1,4
303,30,22,5
303,65,32,6
303,57,32,7
303,100,27,8
303,110,25,9
303,123,27,10
303,78,6,11
303,104,18,12
303,84,22,13
303,81,18,14
303,55,6,15
303,88,29,16
303,131,17,17
303,92,33,18
303,94,35,19
303,79,33,20
303,129,25,21
303,109,35,22
303,136,37,23
303,105,29,24
303,127,17,25
303,125,37,26
304,95,3,1
304,102,1,2
304,119,3,3
304,77,1,4
304,30,22,5
304,55,6,6
304,110,25,7
304,84,22,8
304,100,27,9
304,57,32,10
304,105,29,11
304,65,32,12
304,129,25,13
304,94,35,14
304,131,17,15
304,81,18,16
304,104,18,17
304,88,29,18
304,78,6,19
304,127,17,20
304,92,33,21
304,123,27,22
304,125,37,23
304,109,35,24
304,136,37,25
304,79,33,26
273,117,3,1
273,102,1,2
273,30,22,3
273,71,3,4
273,55,6,5
273,109,15,6
273,119,22,7
273,87,27,8
273,121,1,9
273,91,15,10
273,112,33,11
273,84,27,12
273,104,18,13
273,22,17,14
273,77,6,15
273,70,32,16
273,65,32,17
273,122,17,18
273,100,33,19
273,88,29,20
273,105,26,21
273,118,29,22
273,110,25,23
273,120,18,24
273,,,25
273,69,26,26
274,117,3,1
274,71,3,2
274,102,1,3
274,30,22,4
274,121,1,5
274,119,22,6
274,109,15,7
274,91,15,8
274,55,6,9
274,87,27,10
274,112,33,11
274,65,32,12
274,77,6,13
274,22,17,14
274,70,32,15
274,84,27,16
274,100,33,17
274,118,29,18
274,88,29,19
274,104,18,20
274,69,26,21
274,79,25,22
274,110,25,23
274,120,18,24
274,105,26,25
275,117,3,1
275,71,3,2
275,30,22,3
275,102,1,4
275,91,15,5
275,121,1,6
275,109,15,7
275,77,6,8
275,55,6,9
275,119,22,10
275,65,32,11
275,22,17,12
275,70,32,13
275,118,29,14
275,112,33,15
275,104,18,16
275,100,33,17
275,79,25,18
275,123,17,19
275,120,18,20
275,87,27,21
275,84,27,22
275,88,29,23
275,105,26,24
275,110,25,25
276,117,3,1
276,71,3,2
276,30,22,3
276,102,1,4
276,91,15,5
276,121,1,6
276,87,27,7
276,77,6,8
276,55,6,9
276,84,27,10
276,119,22,11
276,65,32,12
276,22,17,13
276,112,33,14
276,118,29,15
276,109,15,16
276,100,33,17
276,110,25,18
276,123,17,19
276,70,32,20
276,88,29,21
276,79,25,22
276,104,18,23
276,69,26,24
276,120,18,25
277,117,3,1
277,71,3,2
277,102,1,3
277,30,22,4
277,119,22,5
277,91,15,6
277,121,1,7
277,55,6,8
277,109,15,9
277,65,32,10
277,77,6,11
277,87,27,12
277,112,33,13
277,100,33,14
277,70,32,15
277,118,29,16
277,22,17,17
277,84,27,18
277,88,29,19
277,104,18,20
277,123,17,21
277,69,26,22
277,79,25,23
277,110,25,24
277,120,18,25
278,117,3,1
278,30,22,2
278,102,1,3
278,71,3,4
278,55,6,5
278,119,22,6
278,77,6,7
278,91,15,8
278,121,1,9
278,100,33,10
278,109,15,11
278,118,29,12
278,84,27,13
278,65,32,14
278,112,33,15
278,22,17,16
278,104,18,17
278,88,29,18
278,110,25,19
278,70,32,20
278,87,27,21
278,79,25,22
278,123,17,23
278,105,26,24
278,120,18,25
279,117,3,1
279,71,3,2
279,30,22,3
279,119,22,4
279,77,6,5
279,55,6,6
279,84,27,7
279,102,1,8
279,91,15,9
279,87,27,10
279,109,15,11
279,121,1,12
279,100,33,13
279,22,17,14
279,112,33,15
279,88,29,16
279,104,18,17
279,118,29,18
279,110,25,19
279,65,32,20
279,70,32,21
279,79,25,22
279,120,18,23
279,123,17,24
279,69,26,25
280,71,3,1
280,117,3,2
280,84,27,3
280,87,27,4
280,102,1,5
280,55,6,6
280,30,22,7
280,22,17,8
280,100,33,9
280,112,33,10
280,91,15,11
280,119,22,12
280,88,29,13
280,77,6,14
280,118,29,15
280,121,1,16
280,70,32,17
280,109,15,18
280,65,32,19
280,123,17,20
280,,,21
280,69,26,22
280,104,18,23
280,120,18,24
280,110,25,25
281,117,3,1
281,71,3,2
281,30,22,3
281,102,1,4
281,119,22,5
281,84,27,6
281,65,32,7
281,118,29,8
281,87,27,9
281,88,29,10
281,121,1,11
281,55,6,12
281,77,6,13
281,70,32,14
281,22,17,15
281,109,15,16
281,100,33,17
281,91,15,18
281,104,18,19
281,94,18,20
281,110,25,21
281,79,25,22
281,123,17,23
281,112,33,24
281,69,26,25
282,117,3,1
282,71,3,2
282,30,22,3
282,102,1,4
282,87,27,5
282,84,27,6
282,119,22,7
282,88,29,8
282,77,6,9
282,55,6,10
282,118,29,11
282,121,1,12
282,65,32,13
282,91,15,14
282,70,32,15
282,100,33,16
282,22,17,17
282,109,15,18
282,110,25,19
282,104,18,20
282,79,25,21
282,94,18,22
282,112,33,23
282,123,17,24
282,69,26,25
282,105,26,26
283,117,3,1
283,71,3,2
283,30,22,3
283,102,1,4
283,119,22,5
283,77,6,6
283,94,18,7
283,55,6,8
283,118,29,9
283,88,29,10
283,121,1,11
283,87,27,12
283,84,27,13
283,104,18,14
283,109,15,15
283,22,17,16
283,91,15,17
283,100,33,18
283,112,33,19
283,65,32,20
283,70,32,21
283,110,25,22
283,79,25,23
283,123,17,24
283,105,26,25
283,69,26,26
284,117,3,1
284,71,3,2
284,30,22,3
284,55,6,4
284,102,1,5
284,88,29,6
284,118,29,7
284,119,22,8
284,109,15,9
284,65,32,10
284,84,27,11
284,91,15,12
284,,,13
284,121,1,14
284,87,27,15
284,77,6,16
284,110,25,17
284,112,33,18
284,100,33,19
284,123,17,20
284,94,18,21
284,104,18,22
284,79,25,23
284,69,26,24
284,105,26,25
285,117,3,1
285,71,3,2
285,55,6,3
285,102,1,4
285,30,22,5
285,77,6,6
285,65,32,7
285,88,29,8
285,121,1,9
285,119,22,10
285,118,29,11
285,84,27,12
285,109,15,13
285,87,27,14
285,91,15,15
285,112,33,16
285,79,25,17
285,110,25,18
285,22,17,19
285,100,33,20
285,105,26,21
285,94,18,22
285,124,17,23
285,104,18,24
285,69,26,25
285,83,32,26
286,71,3,1
286,117,3,2
286,57,1,3
286,102,1,4
286,55,6,5
286,30,22,6
286,119,22,7
286,77,6,8
286,118,29,9
286,87,27,10
286,84,27,11
286,109,15,12
286,91,15,13
286,65,32,14
286,22,17,15
286,88,29,16
286,110,25,17
286,83,32,18
286,94,18,19
286,112,33,20
286,79,25,21
286,100,33,22
286,125,17,23
286,104,18,24
286,105,26,25
286,69,26,26
287,117,3,1
287,102,1,2
287,57,1,3
287,30,22,4
287,77,6,5
287,71,3,6
287,118,29,7
287,56,17,8
287,88,29,9
287,119,22,10
287,109,15,11
287,22,17,12
287,111,18,13
287,55,6,14
287,84,27,15
287,91,15,16
287,87,27,17
287,110,25,18
287,65,32,19
287,83,32,20
287,100,33,21
287,94,18,22
287,126,33,23
287,79,25,24
288,102,1,1
288,117,3,2
288,71,3,3
288,30,22,4
288,57,1,5
288,77,6,6
288,55,6,7
288,84,27,8
288,119,22,9
288,88,29,10
288,91,15,11
288,109,15,12
288,22,17,13
288,87,27,14
288,110,25,15
288,94,18,16
288,118,29,17
288,79,25,18
288,56,17,19
288,65,32,20
288,100,33,21
288,111,18,22
288,83,32,23
288,126,33,24
257,102,3,1
257,30,22,2
257,55,6,3
257,71,3,4
257,49,15,5
257,81,29,6
257,91,15,7
257,57,1,8
257,50,22,9
257,79,25,10
257,104,29,11
257,87,25,12
257,100,33,13
257,22,17,14
257,94,18,15
257,56,17,16
257,77,6,17
257,84,1,18
257,44,27,19
257,103,27,20
257,65,32,21
257,105,18,22
257,106,33,23
257,83,32,24
257,92,30,25
257,101,31,26
258,102,3,1
258,30,22,2
258,71,3,3
258,57,1,4
258,77,6,5
258,84,1,6
258,78,6,7
258,22,17,8
258,104,29,9
258,50,22,10
258,49,15,11
258,87,25,12
258,81,29,13
258,79,25,14
258,105,18,15
258,100,33,16
258,94,18,17
258,103,27,18
258,91,15,19
258,88,17,20
258,106,33,21
258,44,27,22
258,65,32,23
258,83,32,24
258,101,31,25
258,107,31,26
259,102,3,1
259,30,22,2
259,77,6,3
259,71,3,4
259,109,22,5
259,78,6,6
259,49,15,7
259,57,1,8
259,79,25,9
259,91,15,10
259,81,29,11
259,87,25,12
259,84,1,13
259,94,18,14
259,105,18,15
259,104,29,16
259,103,27,17
259,100,33,18
259,44,27,19
259,65,32,20
259,110,17,21
259,83,32,22
259,106,33,23
259,101,31,24
259,92,30,25
260,30,22,1
260,57,1,2
260,77,6,3
260,71,3,4
260,55,6,5
260,104,29,6
260,81,29,7
260,84,1,8
260,94,18,9
260,87,25,10
260,79,25,11
260,105,18,12
260,100,33,13
260,110,17,14
260,22,17,15
260,65,32,16
260,109,22,17
260,106,33,18
260,83,32,19
260,44,27,20
260,103,27,21
260,101,31,22
260,92,30,23
260,108,30,24
261,30,22,1
261,71,3,2
261,57,1,3
261,109,22,4
261,22,17,5
261,55,6,6
261,77,6,7
261,84,1,8
261,14,3,9
261,79,25,10
261,87,25,11
261,49,15,12
261,56,17,13
261,105,18,14
261,81,29,15
261,100,33,16
261,106,33,17
261,94,18,18
261,44,27,19
261,103,27,20
261,104,29,21
261,65,32,22
261,70,32,23
261,101,31,24
261,92,30,25
261,108,30,26
262,30,22,1
262,55,6,2
262,77,6,3
262,71,3,4
262,14,3,5
262,22,17,6
262,57,1,7
262,56,17,8
262,79,25,9
262,49,15,10
262,81,29,11
262,84,1,12
262,87,25,13
262,110,15,14
262,94,18,15
262,104,29,16
262,65,32,17
262,105,18,18
262,44,27,19
262,109,22,20
262,100,33,21
262,106,33,22
262,70,32,23
262,103,27,24
262,101,31,25
262,92,30,26
263,71,3,1
263,95,3,2
263,30,22,3
263,55,6,4
263,77,6,5
263,56,17,6
263,22,17,7
263,50,22,8
263,57,1,9
263,49,15,10
263,110,15,11
263,84,1,12
263,44,27,13
263,79,25,14
263,103,27,15
263,94,18,16
263,87,25,17
263,104,29,18
263,65,32,19
263,100,33,20
263,105,18,21
263,81,29,22
263,70,32,23
263,101,31,24
263,106,33,25
263,111,31,26
264,71,3,1
264,30,22,2
264,77,6,3
264,55,6,4
264,57,1,5
264,22,17,6
264,14,3,7
264,79,25,8
264,84,1,9
264,50,22,10
264,87,25,11
264,56,17,12
264,49,15,13
264,94,18,14
264,44,27,15
264,81,29,16
264,105,18,17
264,110,15,18
264,70,32,19
264,104,29,20
264,65,32,21
264,100,33,22
264,103,27,23
264,106,33,24
264,101,31,25
264,111,31,26
265,77,6,1
265,55,6,2
265,71,3,3
265,30,22,4
265,79,25,5
265,14,3,6
265,87,25,7
265,57,1,8
265,49,15,9
265,56,17,10
265,22,17,11
265,44,27,12
265,84,1,13
265,103,27,14
265,65,32,15
265,81,29,16
265,104,29,17
265,110,15,18
265,50,22,19
265,94,18,20
265,70,32,21
265,100,33,22
265,105,18,23
265,106,33,24
265,101,31,25
265,111,31,26
266,30,22,1
266,71,3,2
266,14,3,3
266,77,6,4
266,79,25,5
266,84,1,6
266,56,17,7
266,49,15,8
266,44,27,9
266,22,17,10
266,87,25,11
266,50,22,12
266,55,6,13
266,112,1,14
266,94,18,15
266,104,29,16
266,110,15,17
266,103,27,18
266,81,29,19
266,105,18,20
266,100,33,21
266,70,32,22
266,101,31,23
266,65,32,24
266,106,33,25
266,111,31,26
267,22,17,1
267,30,22,2
267,71,3,3
267,56,17,4
267,55,6,5
267,50,22,6
267,14,3,7
267,57,1,8
267,49,15,9
267,94,18,10
267,77,6,11
267,87,25,12
267,84,1,13
267,81,29,14
267,110,15,15
267,103,27,16
267,44,27,17
267,105,18,18
267,112,33,19
267,65,32,20
267,101,31,21
267,100,33,22
267,79,25,23
267,104,29,24
267,111,31,25
267,113,32,26
268,55,6,1
268,77,6,2
268,71,3,3
268,65,32,4
268,14,3,5
268,44,27,6
268,57,1,7
268,110,15,8
268,56,17,9
268,50,22,10
268,49,15,11
268,103,27,12
268,70,32,13
268,79,25,14
268,84,1,15
268,22,17,16
268,81,29,17
268,94,18,18
268,104,29,19
268,109,22,20
268,87,25,21
268,105,18,22
268,114,33,23
268,100,33,24
268,111,31,25
268,101,31,26
269,77,6,1
269,71,3,2
269,14,3,3
269,57,1,4
269,55,6,5
269,79,25,6
269,84,1,7
269,22,17,8
269,49,15,9
269,50,22,10
269,104,29,11
269,87,25,12
269,56,17,13
269,109,22,14
269,44,27,15
269,81,29,16
269,110,15,17
269,94,18,18
269,105,18,19
269,65,32,20
269,103,27,21
269,100,33,22
269,114,33,23
269,101,31,24
269,113,32,25
269,111,31,26
270,30,22,1
270,71,3,2
270,95,3,3
270,49,15,4
270,22,17,5
270,77,6,6
270,65,27,7
270,81,29,8
270,57,1,9
270,56,17,10
270,44,27,11
270,50,22,12
270,79,25,13
270,87,25,14
270,84,1,15
270,55,6,16
270,94,18,17
270,110,15,18
270,104,29,19
270,105,18,20
270,70,32,21
270,103,32,22
270,100,33,23
270,115,33,24
270,101,31,25
270,93,31,26
271,30,22,1
271,71,3,2
271,49,15,3
271,95,3,4
271,65,22,5
271,56,17,6
271,55,6,7
271,57,1,8
271,84,1,9
271,22,17,10
271,77,6,11
271,81,29,12
271,87,25,13
271,79,25,14
271,109,15,15
271,94,18,16
271,70,32,17
271,104,29,18
271,44,27,19
271,116,27,20
271,105,18,21
271,100,33,22
271,115,33,23
271,101,31,24
271,63,32,25
271,89,31,26
272,95,3,1
272,30,22,2
272,71,3,3
272,57,1,4
272,22,17,5
272,56,17,6
272,65,22,7
272,55,6,8
272,84,1,9
272,49,15,10
272,77,6,11
272,44,27,12
272,87,25,13
272,70,32,14
272,79,25,15
272,105,18,16
272,109,15,17
272,94,18,18
272,104,29,19
272,116,27,20
272,81,29,21
272,63,32,22
272,115,33,23
272,101,31,24
272,98,33,25
272,93,31,26
240,71,3,1
240,30,22,2
240,14,3,3
240,65,22,4
240,77,6,5
240,55,6,6
240,57,1,7
240,56,17,8
240,87,1,9
240,44,27,10
240,79,25,11
240,63,25,12
240,81,29,13
240,49,15,14
240,88,27,15
240,22,17,16
240,94,18,17
240,69,18,18
240,91,15,19
240,92,30,20
240,89,29,21
240,85,30,22
240,90,28,23
240,50,31,24
240,64,28,25
240,93,31,26
241,14,3,1
241,71,3,2
241,30,22,3
241,56,17,4
241,57,1,5
241,55,6,6
241,63,25,7
241,77,6,8
241,49,15,9
241,22,17,10
241,65,22,11
241,81,29,12
241,69,18,13
241,50,31,14
241,79,25,15
241,94,18,16
241,87,1,17
241,44,27,18
241,88,27,19
241,93,31,20
241,91,15,21
241,85,30,22
241,92,30,23
241,90,28,24
241,64,28,25
241,89,29,26
242,30,22,1
242,77,6,2
242,14,3,3
242,71,3,4
242,55,6,5
242,57,1,6
242,56,17,7
242,65,22,8
242,95,1,9
242,22,17,10
242,81,29,11
242,44,27,12
242,63,25,13
242,49,15,14
242,79,25,15
242,88,27,16
242,50,31,17
242,94,18,18
242,89,29,19
242,69,18,20
242,91,15,21
242,92,30,22
242,93,31,23
242,85,30,24
242,90,28,25
242,64,28,26
243,30,22,1
243,55,6,2
243,77,6,3
243,14,3,4
243,71,3,5
243,56,17,6
243,65,22,7
243,22,17,8
243,57,1,9
243,95,1,10
243,84,27,11
243,49,15,12
243,63,25,13
243,81,29,14
243,44,27,15
243,50,31,16
243,79,25,17
243,89,29,18
243,94,18,19
243,91,15,20
243,69,18,21
243,93,31,22
243,85,30,23
243,92,30,24
243,90,28,25
243,64,28,26
244,71,3,1
244,30,22,2
244,14,3,3
244,77,6,4
244,55,6,5
244,57,1,6
244,65,22,7
244,84,27,8
244,56,17,9
244,87,1,10
244,22,17,11
244,44,27,12
244,81,29,13
244,49,15,14
244,79,25,15
244,69,18,16
244,63,25,17
244,94,18,18
244,96,15,19
244,93,31,20
244,92,30,21
244,64,28,22
244,50,31,23
244,90,28,24
244,85,30,25
244,89,29,26
245,30,22,1
245,71,3,2
245,14,3,3
245,77,6,4
245,55,6,5
245,65,22,6
245,57,1,7
245,56,17,8
245,22,17,9
245,87,1,10
245,44,27,11
245,49,15,12
245,81,29,13
245,84,27,14
245,63,25,15
245,79,25,16
245,94,18,17
245,96,15,18
245,69,18,19
245,92,30,20
245,85,30,21
245,89,29,22
245,90,28,23
245,64,28,24
246,71,3,1
246,30,22,2
246,14,3,3
246,55,6,4
246,22,17,5
246,44,27,6
246,77,6,7
246,57,1,8
246,84,27,9
246,65,22,10
246,56,17,11
246,49,15,12
246,87,1,13
246,63,25,14
246,96,15,15
246,81,29,16
246,69,18,17
246,89,29,18
246,79,25,19
246,94,18,20
246,85,30,21
246,92,30,22
246,64,28,23
246,90,28,24
247,71,3,1
247,30,22,2
247,14,3,3
247,77,6,4
247,65,22,5
247,55,6,6
247,56,17,7
247,57,1,8
247,22,17,9
247,87,1,10
247,84,27,11
247,49,15,12
247,44,27,13
247,79,25,14
247,94,18,15
247,96,15,16
247,97,29,17
247,69,18,18
247,89,29,19
247,64,28,20
247,92,30,21
247,90,28,22
247,63,25,23
247,85,30,24
248,71,3,1
248,30,22,2
248,14,3,3
248,77,6,4
248,22,17,5
248,56,17,6
248,57,1,7
248,87,1,8
248,65,22,9
248,55,6,10
248,49,15,11
248,44,27,12
248,63,25,13
248,96,15,14
248,97,29,15
248,69,18,16
248,79,25,17
248,88,27,18
248,89,29,19
248,94,18,20
248,64,28,21
248,90,28,22
248,85,30,23
248,86,30,24
249,71,3,1
249,14,3,2
249,30,22,3
249,77,6,4
249,57,1,5
249,55,6,6
249,56,17,7
249,84,27,8
249,65,22,9
249,44,27,10
249,49,15,11
249,69,18,12
249,87,1,13
249,22,17,14
249,83,18,15
249,63,25,16
249,79,25,17
249,89,29,18
249,96,15,19
249,97,29,20
249,90,28,21
249,85,30,22
249,64,28,23
249,86,30,24
250,77,6,1
250,55,6,2
250,57,1,3
250,65,22,4
250,14,3,5
250,87,1,6
250,56,17,7
250,71,3,8
250,44,27,9
250,49,15,10
250,63,25,11
250,22,17,12
250,84,27,13
250,96,15,14
250,79,25,15
250,30,22,16
250,83,18,17
250,89,29,18
250,69,18,19
250,97,29,20
250,85,30,21
250,90,28,22
250,86,30,23
250,64,28,24
251,14,3,1
251,30,22,2
251,77,6,3
251,71,3,4
251,55,6,5
251,22,17,6
251,57,1,7
251,65,22,8
251,87,1,9
251,49,15,10
251,84,27,11
251,56,17,12
251,44,27,13
251,96,15,14
251,97,29,15
251,63,25,16
251,79,25,17
251,69,18,18
251,83,18,19
251,89,29,20
